# @echo "cylinder not seen" 
# @./minirt test/cylinder/test_input_one_cylinder_1_not_seen.rt 
cylinder seen from outside
dist infinite: 319.505142 | t->dist_cap: 199.973211 | clang!
dist infinite: 319.505142 | t->dist_cap: 199.973211 | clang!
dist infinite: 321.904062 | t->dist_cap: 199.969939 | clang!
dist infinite: 321.904062 | t->dist_cap: 199.969939 | clang!
dist infinite: 321.904062 | t->dist_cap: 199.969939 | clang!
dist infinite: 321.904062 | t->dist_cap: 199.969939 | clang!
dist infinite: 319.505142 | t->dist_cap: 199.973211 | clang!
dist infinite: 319.505142 | t->dist_cap: 199.973211 | clang!
dist infinite: 314.864254 | t->dist_cap: 199.979755 | clang!
dist infinite: 314.864254 | t->dist_cap: 199.979755 | clang!
dist infinite: 308.267918 | t->dist_cap: 199.989570 | clang!
dist infinite: 308.267918 | t->dist_cap: 199.989570 | clang!
dist infinite: 300.086346 | t->dist_cap: 200.002656 | clang!
dist infinite: 300.086346 | t->dist_cap: 200.002656 | clang!
dist infinite: 290.722366 | t->dist_cap: 200.019013 | clang!
dist infinite: 290.722366 | t->dist_cap: 200.019013 | clang!
dist infinite: 280.567024 | t->dist_cap: 200.038639 | clang!
dist infinite: 280.567024 | t->dist_cap: 200.038639 | clang!
dist infinite: 269.968633 | t->dist_cap: 200.061534 | clang!
dist infinite: 269.968633 | t->dist_cap: 200.061534 | clang!
dist infinite: 259.216460 | t->dist_cap: 200.087696 | clang!
dist infinite: 259.216460 | t->dist_cap: 200.087696 | clang!
dist infinite: 248.536535 | t->dist_cap: 200.117124 | clang!
dist infinite: 248.536535 | t->dist_cap: 200.117124 | clang!
dist infinite: 238.095567 | t->dist_cap: 200.149817 | clang!
dist infinite: 238.095567 | t->dist_cap: 200.149817 | clang!
dist infinite: 228.009176 | t->dist_cap: 200.185774 | clang!
dist infinite: 228.009176 | t->dist_cap: 200.185774 | clang!
dist infinite: 218.351613 | t->dist_cap: 200.224991 | clang!
dist infinite: 218.351613 | t->dist_cap: 200.224991 | clang!
dist infinite: 209.165189 | t->dist_cap: 200.267468 | clang!
dist infinite: 209.165189 | t->dist_cap: 200.267468 | clang!
dist infinite: 200.468534 | t->dist_cap: 200.313203 | clang!
dist infinite: 200.468534 | t->dist_cap: 200.313203 | clang!
dist infinite: 207.205886 | t->dist_cap: 200.277270 | clang!
dist infinite: 207.205886 | t->dist_cap: 200.277270 | clang!
dist infinite: 216.858851 | t->dist_cap: 200.231527 | clang!
dist infinite: 216.858851 | t->dist_cap: 200.231527 | clang!
dist infinite: 227.154774 | t->dist_cap: 200.189042 | clang!
dist infinite: 227.154774 | t->dist_cap: 200.189042 | clang!
dist infinite: 238.095567 | t->dist_cap: 200.149817 | clang!
dist infinite: 238.095567 | t->dist_cap: 200.149817 | clang!
dist infinite: 249.658181 | t->dist_cap: 200.113855 | clang!
dist infinite: 249.658181 | t->dist_cap: 200.113855 | clang!
dist infinite: 261.783289 | t->dist_cap: 200.081156 | clang!
dist infinite: 261.783289 | t->dist_cap: 200.081156 | clang!
dist infinite: 274.361162 | t->dist_cap: 200.051722 | clang!
dist infinite: 274.361162 | t->dist_cap: 200.051722 | clang!
dist infinite: 287.215381 | t->dist_cap: 200.025555 | clang!
dist infinite: 287.215381 | t->dist_cap: 200.025555 | clang!
dist infinite: 300.086346 | t->dist_cap: 200.002656 | clang!
dist infinite: 300.086346 | t->dist_cap: 200.002656 | clang!
dist infinite: 312.618543 | t->dist_cap: 199.983026 | clang!
